ID,F,S11,Lfeed,Lp,Lslot,Lslot_plus,Rc,Wfeed,Wp,Wslot,Wslot_plus,t,xsub,ysub
0,1.692307692,-4.349826379,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.702341137,-4.425245725,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.712374582,-4.500027993,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.722408027,-4.574165687,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.732441472,-4.647573506,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.742474916,-4.72026712,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.752508361,-4.792185777,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.762541806,-4.863316998,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.772575251,-4.93363898,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.782608696,-5.003113595,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.79264214,-5.07176063,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.802675585,-5.139511323,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.81270903,-5.206406702,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.822742475,-5.272407568,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.83277592,-5.337520564,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.842809365,-5.401748876,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.852842809,-5.465068734,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.862876254,-5.527522001,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.872909699,-5.589058736,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.882943144,-5.649735919,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.892976589,-5.709529627,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.903010033,-5.768464628,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.913043478,-5.826553392,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.923076923,-5.883785149,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.933110368,-5.940213167,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.943143813,-5.99579809,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
0,1.953177258,-6.050601879,10,30,6,6.65,6,3,32,2,1.7,8.6,43,52
