ID,S11,S21,F,P,D,W,G
0,-2.260932342,-4.199962187,1.81270903,18.5,16.5,1,2
0,-2.229322305,-4.250122726,1.822742475,18.5,16.5,1,2
0,-2.198023492,-4.300715685,1.83277592,18.5,16.5,1,2
0,-2.167030872,-4.35174141,1.842809365,18.5,16.5,1,2
0,-2.136342545,-4.403205737,1.852842809,18.5,16.5,1,2
0,-2.105955236,-4.455116706,1.862876254,18.5,16.5,1,2
0,-2.075866614,-4.50747867,1.872909699,18.5,16.5,1,2
0,-2.046075161,-4.560295099,1.882943144,18.5,16.5,1,2
0,-2.016575269,-4.6135733,1.892976589,18.5,16.5,1,2
0,-1.987368332,-4.667317792,1.903010033,18.5,16.5,1,2
0,-1.958449354,-4.721534528,1.913043478,18.5,16.5,1,2
0,-1.929816371,-4.776232356,1.923076923,18.5,16.5,1,2
0,-1.901468408,-4.831413895,1.933110368,18.5,16.5,1,2
0,-1.87340172,-4.887085511,1.943143813,18.5,16.5,1,2
0,-1.845613672,-4.943255049,1.953177258,18.5,16.5,1,2
0,-1.81810403,-4.999927681,1.963210702,18.5,16.5,1,2
0,-1.790868783,-5.057110527,1.973244147,18.5,16.5,1,2
0,-1.7639076,-5.114810082,1.983277592,18.5,16.5,1,2
0,-1.737216441,-5.173032992,1.993311037,18.5,16.5,1,2
0,-1.710794594,-5.231787748,2.003344482,18.5,16.5,1,2
0,-1.684639985,-5.291080151,2.013377926,18.5,16.5,1,2
0,-1.65874939,-5.350916936,2.023411371,18.5,16.5,1,2
0,-1.633122318,-5.411307568,2.033444816,18.5,16.5,1,2
0,-1.607757669,-5.472258241,2.043478261,18.5,16.5,1,2
0,-1.582651344,-5.533777758,2.053511706,18.5,16.5,1,2
0,-1.557802369,-5.595871962,2.063545151,18.5,16.5,1,2
0,-1.533210292,-5.658552514,2.073578595,18.5,16.5,1,2
0,-1.508872624,-5.721825326,2.08361204,18.5,16.5,1,2
0,-1.484786572,-5.785698915,2.093645485,18.5,16.5,1,2
0,-1.460950768,-5.850183646,2.10367893,18.5,16.5,1,2
0,-1.437365252,-5.915288109,2.113712375,18.5,16.5,1,2
